name,age,weight,height,nationality,team_name,team_url,rider_url
Romain  Bardet,,65.0,1.85,FR,Team Picnic PostNL (WT),team/team-picnic-postnl-2025,rider/romain-bardet
Alex  Edmondson,,75.0,1.83,AU,Team Picnic PostNL (WT),team/team-picnic-postnl-2025,rider/alexander-edmondson
Chris  Hamilton,,70.0,1.78,AU,Team Picnic PostNL (WT),team/team-picnic-postnl-2025,rider/chris-hamilton
Gijs  Leemreize,,66.0,1.9,NL,Team Picnic PostNL (WT),team/team-picnic-postnl-2025,rider/gijs-leemreize
Niklas  Märkl,,70.0,1.85,DE,Team Picnic PostNL (WT),team/team-picnic-postnl-2025,rider/niklas-markl
Max  Poole,,,1.85,GB,Team Picnic PostNL (WT),team/team-picnic-postnl-2025,rider/max-poole
Casper van Uden,,,1.81,NL,Team Picnic PostNL (WT),team/team-picnic-postnl-2025,rider/casper-van-uden
Bram  Welten,,81.0,1.88,NL,Team Picnic PostNL (WT),team/team-picnic-postnl-2025,rider/bram-welten
